Edad,Estatura,Peso,Sexo,Calzado,Talla,Deporte,Pasos
18,159,53,F,36.5,NA,FALSE,15
19,155,62,F,37,M,FALSE,15
21,165,54,F,38,NA,TRUE,15
18,186,98,M,43,XL,FALSE,13
19,172,95,M,42.5,NA,FALSE,13
18,150,NA,F,36,NA,TRUE,18
18,175,74,M,42,L,FALSE,14
NA,166,60,M,41,S,FALSE,14
18,157,50,F,36,M,TRUE,16
20,176,73,M,43.5,NA,NA,14
18,158,50,F,36,S,TRUE,16
18,160,66,F,37,M,FALSE,14
20,163,60,F,37,M,TRUE,14
24,180,77,M,43,L,FALSE,13
17,170,70,M,43,M,FALSE,14
18,169,52,M,42,NA,TRUE,15
22,180,78,M,42.5,M,FALSE,13
18,156,56,F,36.5,NA,TRUE,15
18,172,65,M,41,M,FALSE,14
16,162,55,M,39,M,FALSE,16
22,156,50,F,36,S,TRUE,15
18,156,65,F,36,S,TRUE,15
17,179,87,M,42.5,NA,TRUE,13
19,165,NA,M,40,S,FALSE,14
18,160,50,F,36,S,TRUE,15
18,170,60,M,40,M,FALSE,15
21,175,70,M,42,M,TRUE,14
19,173,64,M,42,M,FALSE,13
18,176,76,M,41,M,FALSE,14
18,165,51,F,35.5,NA,TRUE,15
22,172,90,M,42,L,TRUE,14
19,154,49,F,36,XS,TRUE,15
19,166,68,M,40,M,FALSE,14
18,179,83,M,44,L,TRUE,13
21,180,65,M,42.5,M,TRUE,12
19,172,74,M,42.5,NA,NA,13
20,180,57,M,43,M,FALSE,14
19,158,58,F,35,M,FALSE,15
20,164,NA,M,41,M,TRUE,15
18,172,72,M,41.5,NA,FALSE,14
19,166,60,F,38,S,TRUE,15
20,151,52,F,36,S,FALSE,16
18,174,75,M,44,M,FALSE,13
22,172,69,M,43,M,FALSE,13
20,155,50,F,36,S,TRUE,14
22,145,55,F,36,M,TRUE,18
18,178,56,M,40.5,NA,TRUE,14
18,170,65,M,40.5,NA,NA,13
18,158,54,F,38,M,FALSE,16
18,179,64,M,42,M,TRUE,13
19,170,58,M,41,M,FALSE,14
20,172,70,M,41,NA,TRUE,14
17,178,75,M,41.5,NA,NA,14
18,171,54,M,41,S,FALSE,14
20,165,58,M,42,S,FALSE,14
18,158,55,F,37,S,TRUE,15
19,170,66,M,43,M,TRUE,14
18,163,52,M,39.5,NA,FALSE,15
22,171,50,M,40,S,TRUE,14
18,150,43,F,36,S,TRUE,17
19,170,68,M,38,L,TRUE,14
23,148,68,F,35,M,TRUE,17
17,166,65,M,40.5,M,FALSE,14
19,165,65,M,42,S,FALSE,14
17,154,53,F,36,S,TRUE,16
18,167,69,M,41,M,TRUE,14
19,170,80,M,44,L,TRUE,13
19,170,70,M,42,M,FALSE,13
NA,180,110,M,45,NA,TRUE,13
17,174,69,M,43,M,FALSE,13
17,165,55,F,36,NA,FALSE,14
18,173,64,M,39.5,NA,FALSE,14
21,183,78,M,43.5,NA,FALSE,13
18,157,54,F,37.5,NA,FALSE,16
21,167,68,M,41,M,FALSE,15
18,165,65,M,42,S,FALSE,14
19,191,81,M,44.5,NA,FALSE,12
18,150,55,M,40,NA,TRUE,16
19,165,61,M,40,NA,TRUE,14
19,157,60,F,36,M,FALSE,15
18,179,64,M,42,S,FALSE,13
19,183,90,M,42,L,TRUE,12
19,172,61,M,41,M,FALSE,13
18,167,NA,F,42,NA,FALSE,13
18,163,78,M,43,L,FALSE,14
18,154,58,F,37,S,FALSE,17
17,171,62,F,38,S,TRUE,14
19,171,70,M,42,NA,FALSE,13
17,165,62,M,42,S,FALSE,14
18,165,58,F,38,M,FALSE,14
19,177,65,M,41.5,NA,TRUE,13
18,185,88,M,46,XL,FALSE,13
18,167,62,M,40,M,NA,14
18,180,84,M,42.5,NA,FALSE,13
21,165,69,F,38,S,TRUE,14
21,178,77,M,43,L,FALSE,13
18,158,70,F,36,XS,NA,15
20,NA,NA,M,43,M,FALSE,15
19,150,52,F,36,S,FALSE,17
17,186,85,M,45,XL,FALSE,12
20,159,52,F,37,M,FALSE,16
18,160,51,M,38.5,M,TRUE,15
18,165,NA,M,42,L,FALSE,15
24,165,65,M,41,S,FALSE,16
20,149,50,F,36,S,TRUE,17
18,169,54,M,39.5,NA,FALSE,13
18,159,50,F,36,S,TRUE,13
17,169,71,M,39,M,FALSE,14
17,171,72,M,41.5,NA,TRUE,13
21,160,75,M,40,NA,TRUE,16
18,175,NA,M,45,M,FALSE,13
20,171,78,M,42,L,TRUE,14
22,158,64,F,39,M,TRUE,14
20,178,60,M,42,L,TRUE,13
23,153,50,F,36,S,FALSE,17
20,160,80,F,37,L,TRUE,15
20,164,150,M,40,M,FALSE,14
17,170,71,M,41.5,NA,FALSE,14
19,176,73,M,41.5,NA,FALSE,13
20,170,78,M,44,L,FALSE,14
19,173,53,M,41,M,FALSE,14
19,155,56,F,35,NA,FALSE,17
20,170,69,M,41,M,FALSE,14
21,165,63,F,38,M,TRUE,14
18,160,84,M,42,NA,TRUE,15
18,174,65,M,41,M,TRUE,12
21,167,50,M,39.5,NA,FALSE,15
20,172,70,M,42,L,FALSE,14
20,163,60,M,40,M,FALSE,14
18,170,74,M,41.5,NA,FALSE,14
19,162,66,M,39,M,FALSE,14
19,162,47,F,38.5,NA,FALSE,14
17,163,54,NA,36,M,TRUE,14
20,170,67,M,41,M,FALSE,13
18,152,46,F,36,S,TRUE,15
19,165,60,F,38,L,TRUE,15
22,177,62,M,42,NA,NA,13
21,181,107,M,42.5,XL,TRUE,13
19,171,71,M,41,M,FALSE,13
18,160,50,F,35,S,TRUE,15
