Edad,Estatura,Peso,Sexo,Calzado,Talla,Deporte,Pasos
18,170,70,M,41.5,NA,FALSE,14
17,175,60,M,41.5,NA,TRUE,14
20,178,90,M,44,XL,TRUE,12
20,166,67,M,38,M,FALSE,15
19,181,69,M,45,M,FALSE,13
21,178,75,M,42,L,FALSE,14
18,180,77,M,43,NA,TRUE,13
18,152,46,F,36,S,TRUE,15
19,188,75,M,44,M,FALSE,12
19,172,76,M,42,NA,NA,12
NA,150,49,F,34.5,NA,FALSE,17
20,175,70,M,40,M,FALSE,13
19,184,75,M,42,L,TRUE,14
19,174,66,M,42,M,FALSE,13
20,160,60,F,38,M,TRUE,15
18,170,58,M,42,S,FALSE,13
18,160,NA,F,38,M,TRUE,15
19,168,60,M,42,M,FALSE,15
18,179,81,M,42,NA,TRUE,13
18,184,75,M,44.5,NA,TRUE,13
17,163,71,M,38.5,NA,TRUE,15
19,153,59,F,35,M,FALSE,17
22,173,80,M,41,M,FALSE,13
18,171,55,M,39,S,FALSE,15
20,172,70,M,42,L,FALSE,14
18,156,48,F,36,S,TRUE,15
19,171,63,M,41,NA,NA,14
18,175,90,M,42.5,NA,TRUE,14
19,165,49,F,38,S,FALSE,15
18,164,66,M,40,M,FALSE,14
18,169,65,M,42,M,FALSE,13
18,174,65,M,41,M,TRUE,12
18,180,95,M,42.5,NA,TRUE,13
18,150,53,F,37,S,TRUE,15
18,154,50,F,37,S,FALSE,15
21,160,60,M,40,M,TRUE,14
18,175,75,M,42,NA,FALSE,13
23,170,72,F,37,M,TRUE,14
17,167.00000000000003,69,M,42,M,FALSE,14
18,154,54,F,38,S,FALSE,15
19,180,80,F,43,L,TRUE,13
22,184,110,M,45,XL,FALSE,14
19,164,73,M,40,M,FALSE,14
21,155,62,F,38,M,FALSE,16
20,182,64,M,43,M,FALSE,13
21,160,65,F,37,M,FALSE,16
17,162,55,F,37,S,FALSE,15
20,158,72,M,40,NA,NA,14
17,179,86,M,43,L,FALSE,13
19,165,51,M,38,M,FALSE,15
19,155,60,F,37,M,FALSE,15
19,175,74,M,41,NA,FALSE,13
20,180,NA,M,45,L,TRUE,13
18,165,63,F,38,M,TRUE,15
NA,165,72,M,40,NA,TRUE,15
19,174,76,M,42,NA,TRUE,14
18,165,58,M,40,S,FALSE,14
19,176,80,M,41,M,FALSE,13
17,180,102,M,44,L,TRUE,13
25,172,75,M,42,L,FALSE,14
18,170,52,F,40,S,TRUE,14
20,180,98,M,44,NA,TRUE,13
18,175,56,M,42,M,FALSE,13
